,Area,Element,Item,Unit,Value,kg_per_animal,animal
30411,Portugal,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2433.0,243.3,cattle
30414,Portugal,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14459.0,1.4459000000000002,chicken
30417,Portugal,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,25683.0,2.5683000000000002,duck
30420,Portugal,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,68.0,6.8,goat
30423,Portugal,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,637.0,63.7,pig
30426,Portugal,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,126.0,12.6,sheep
30429,Portugal,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,116611.0,11.661100000000001,"Meat of turkeys, fresh or chilled"
30625,Puerto Rico,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2946.0,294.6,cattle
30628,Puerto Rico,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12387.0,1.2387000000000001,chicken
30631,Puerto Rico,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,85.0,8.5,goat
30634,Puerto Rico,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,1340.0,134.0,pig
30637,Puerto Rico,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,12457.0,1.2457,"Meat of rabbits and hares, fresh or chilled"
30640,Puerto Rico,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,120.0,12.0,sheep
30801,Qatar,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1693.0,169.3,"Meat of camels, fresh or chilled"
30804,Qatar,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1200.0,120.0,cattle
30807,Qatar,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10268.0,1.0268,chicken
30810,Qatar,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,27619.0,2.7619000000000002,duck
30813,Qatar,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,284.0,28.4,goat
30816,Qatar,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,150.0,15.0,sheep
30984,Republic of Korea,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3251.0,325.1,cattle
30987,Republic of Korea,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9025.0,0.9025,chicken
30990,Republic of Korea,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,28267.0,2.8267,duck
30993,Republic of Korea,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,20000.0,2.0,"Meat of geese, fresh or chilled"
30996,Republic of Korea,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,139.0,13.9,goat
30999,Republic of Korea,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,765.0,76.5,pig
31002,Republic of Korea,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,20847.0,2.0847,"Meat of rabbits and hares, fresh or chilled"
31005,Republic of Korea,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,140.0,14.0,sheep
31233,Republic of Moldova,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2535.0,253.5,horse
31243,Republic of Moldova,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1652.0,165.2,cattle
31246,Republic of Moldova,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12522.0,1.2522,chicken
31249,Republic of Moldova,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,745.0,74.5,pig
31252,Republic of Moldova,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,30000.0,3.0,"Meat of rabbits and hares, fresh or chilled"
31255,Republic of Moldova,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,172.0,17.2,sheep
31258,Republic of Moldova,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,48887.0,4.8887,"Meat of turkeys, fresh or chilled"
31501,Romania,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1343.0,134.3,cattle
31504,Romania,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16641.0,1.6641000000000001,chicken
31509,Romania,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,74.0,7.4,goat
31512,Romania,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,933.0,93.3,pig
31515,Romania,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,101.0,10.1,sheep
31771,Russian Federation,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1814.0,181.4,horse
31790,Russian Federation,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2591.0,259.1,"Meat of camels, fresh or chilled"
31793,Russian Federation,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2147.0,214.7,cattle
31796,Russian Federation,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,20983.0,2.0983,chicken
31799,Russian Federation,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,179.0,17.9,goat
31802,Russian Federation,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,944.0,94.4,pig
31807,Russian Federation,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,23391.0,2.3390999999999997,"Meat of rabbits and hares, fresh or chilled"
31810,Russian Federation,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,179.0,17.9,sheep
32036,Rwanda,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,863.0,86.3,cattle
32039,Rwanda,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,29956.0,2.9956000000000005,chicken
32042,Rwanda,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,350.0,35.0,goat
32045,Rwanda,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,369.0,36.9,pig
32048,Rwanda,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,14633.0,1.4633000000000003,"Meat of rabbits and hares, fresh or chilled"
32051,Rwanda,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,500.0,50.0,sheep
32206,Saint Kitts and Nevis,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1911.0,191.1,cattle
32209,Saint Kitts and Nevis,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,5714.0,0.5714,chicken
32212,Saint Kitts and Nevis,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,107.0,10.7,goat
32215,Saint Kitts and Nevis,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,323.0,32.3,pig
32218,Saint Kitts and Nevis,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,113.0,11.3,sheep
32335,Saint Lucia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1837.0,183.7,cattle
32338,Saint Lucia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12000.0,1.2,chicken
32341,Saint Lucia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,138.0,13.8,goat
32344,Saint Lucia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,1650.0,165.0,pig
32348,Saint Lucia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,200.0,20.0,sheep
32486,Saint Vincent and the Grenadines,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2111.0,211.1,cattle
32489,Saint Vincent and the Grenadines,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10000.0,1.0,chicken
32492,Saint Vincent and the Grenadines,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,123.0,12.3,goat
32495,Saint Vincent and the Grenadines,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,634.0,63.4,pig
32498,Saint Vincent and the Grenadines,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,114.0,11.4,sheep
32610,Samoa,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1523.0,152.3,cattle
32613,Samoa,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
32616,Samoa,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,351.0,35.1,pig
32727,Sao Tome and Principe,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1904.0,190.4,cattle
32730,Sao Tome and Principe,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7104.0,0.7104000000000001,chicken
32733,Sao Tome and Principe,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,9455.0,0.9455,duck
32736,Sao Tome and Principe,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,67.0,6.7,goat
32739,Sao Tome and Principe,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,553.0,55.3,pig
32742,Sao Tome and Principe,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,61.0,6.1,sheep
32745,Sao Tome and Principe,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,30000.0,3.0,"Meat of turkeys, fresh or chilled"
32876,Saudi Arabia,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1570.0,157.0,"Meat of camels, fresh or chilled"
32879,Saudi Arabia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1603.0,160.3,cattle
32882,Saudi Arabia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17546.0,1.7546000000000002,chicken
32885,Saudi Arabia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,145.0,14.5,goat
32888,Saudi Arabia,Yield/Carcass Weight,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",0.1,1200.0,0.12,pig
32891,Saudi Arabia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,211.0,21.1,sheep
33062,Senegal,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1250.0,125.0,horse
33072,Senegal,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,600.0,60.0,"Meat of asses, fresh or chilled"
33075,Senegal,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2821.0,282.1,"Meat of camels, fresh or chilled"
33078,Senegal,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1859.0,185.9,cattle
33081,Senegal,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14661.0,1.4661000000000002,chicken
33084,Senegal,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,159.0,15.9,goat
33087,Senegal,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,565.0,56.5,pig
33090,Senegal,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,161.0,16.1,sheep
33291,Serbia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2661.0,266.1,horse
33298,Serbia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2334.0,233.4,cattle
33301,Serbia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17782.0,1.7782,chicken
33308,Serbia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,132.0,13.2,goat
33311,Serbia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,582.0,58.2,pig
33314,Serbia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,204.0,20.4,sheep
33500,Seychelles,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2064.0,206.4,cattle
33503,Seychelles,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16933.0,1.6933000000000002,chicken
33506,Seychelles,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,13000.0,1.3,duck
33509,Seychelles,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,110.0,11.0,goat
33512,Seychelles,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,810.0,81.0,pig
33615,Sierra Leone,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2919.0,291.9,cattle
33618,Sierra Leone,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8783.0,0.8783000000000001,chicken
33621,Sierra Leone,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,12000.0,1.2,duck
33624,Sierra Leone,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,85.0,8.5,goat
33627,Sierra Leone,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,623.0,62.3,pig
33630,Sierra Leone,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,10000.0,1.0,"Meat of rabbits and hares, fresh or chilled"
33633,Sierra Leone,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,110.0,11.0,sheep
33762,Singapore,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,4288.0,428.8,cattle
33765,Singapore,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15106.0,1.5106000000000002,chicken
33768,Singapore,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,8218.0,0.8218000000000001,duck
33771,Singapore,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,168.0,16.8,goat
33774,Singapore,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,644.0,64.4,pig
33777,Singapore,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,270.0,27.0,sheep
33913,Slovakia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2867.0,286.7,cattle
33916,Slovakia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,119.0,11.9,goat
33919,Slovakia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,928.0,92.8,pig
33922,Slovakia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,175.0,17.5,sheep
34134,Slovenia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2942.0,294.2,cattle
34137,Slovenia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16727.0,1.6727,chicken
34144,Slovenia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,145.0,14.5,goat
34147,Slovenia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,972.0,97.2,pig
34150,Slovenia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,147.0,14.7,sheep
34153,Slovenia,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,111099.0,11.109900000000001,"Meat of turkeys, fresh or chilled"
34313,Solomon Islands,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1850.0,185.0,cattle
34316,Solomon Islands,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
34319,Solomon Islands,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,400.0,40.0,pig
34421,Somalia,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1727.0,172.7,"Meat of camels, fresh or chilled"
34424,Somalia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1095.0,109.5,cattle
34427,Somalia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
34430,Somalia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,130.0,13.0,goat
34433,Somalia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,500.0,50.0,pig
34436,Somalia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,128.0,12.8,sheep
34614,South Africa,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1995.0,199.5,horse
34638,South Africa,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3094.0,309.4,cattle
34641,South Africa,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19554.0,1.9554,chicken
34644,South Africa,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,25000.0,2.5,duck
34647,South Africa,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,35000.0,3.5,"Meat of geese, fresh or chilled"
34650,South Africa,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,154.0,15.4,goat
34653,South Africa,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,955.0,95.5,pig
34656,South Africa,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,310.0,31.0,sheep
34659,South Africa,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,80000.0,8.0,"Meat of turkeys, fresh or chilled"
34880,South Sudan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1405.0,140.5,cattle
34883,South Sudan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,13363.0,1.3363000000000003,chicken
34888,South Sudan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,128.0,12.8,goat
34891,South Sudan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,112.0,11.2,sheep
35111,Spain,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2818.0,281.8,cattle
35114,Spain,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19383.0,1.9383000000000001,chicken
35117,Spain,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,46953.0,4.6953000000000005,duck
35120,Spain,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,90.0,9.0,goat
35123,Spain,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,894.0,89.4,pig
35127,Spain,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,128.0,12.8,sheep
35130,Spain,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,84550.0,8.455,"Meat of turkeys, fresh or chilled"
35379,Sri Lanka,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1130.0,113.0,buffalo
35382,Sri Lanka,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1310.0,131.0,cattle
35385,Sri Lanka,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,13143.0,1.3143000000000002,chicken
35388,Sri Lanka,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,13000.0,1.3,duck
35391,Sri Lanka,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,350.0,35.0,goat
35394,Sri Lanka,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,723.0,72.3,pig
35397,Sri Lanka,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,179.0,17.9,sheep
35592,Sudan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2692.0,269.2,"Meat of camels, fresh or chilled"
35595,Sudan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1091.0,109.1,cattle
35598,Sudan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,25386.0,2.5386,chicken
35601,Sudan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,89.0,8.9,goat
35604,Sudan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,176.0,17.6,sheep
35782,Suriname,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2054.0,205.4,cattle
35785,Suriname,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16152.0,1.6152,chicken
35788,Suriname,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,19825.0,1.9825,duck
35791,Suriname,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,136.0,13.6,goat
35794,Suriname,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,696.0,69.6,pig
35797,Suriname,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,111.0,11.1,sheep
35949,Sweden,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3246.0,324.6,cattle
35952,Sweden,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15255.0,1.5255,chicken
35955,Sweden,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,105.0,10.5,goat
35958,Sweden,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,951.0,95.1,pig
35961,Sweden,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,208.0,20.8,sheep
35964,Sweden,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,89150.0,8.915,"Meat of turkeys, fresh or chilled"
36174,Switzerland,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2544.0,254.4,horse
36196,Switzerland,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2388.0,238.8,cattle
36199,Switzerland,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12586.0,1.2586000000000002,chicken
36202,Switzerland,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,128.0,12.8,goat
36205,Switzerland,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,914.0,91.4,pig
36208,Switzerland,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,7861.0,0.7861,"Meat of rabbits and hares, fresh or chilled"
36211,Switzerland,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,217.0,21.7,sheep
36214,Switzerland,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,53505.0,5.3505,"Meat of turkeys, fresh or chilled"
36464,Syrian Arab Republic,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1556.0,155.6,buffalo
36467,Syrian Arab Republic,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1614.0,161.4,"Meat of camels, fresh or chilled"
36470,Syrian Arab Republic,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1172.0,117.2,cattle
36473,Syrian Arab Republic,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12307.0,1.2307000000000001,chicken
36476,Syrian Arab Republic,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,19755.0,1.9755,duck
36479,Syrian Arab Republic,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,40000.0,4.0,"Meat of geese, fresh or chilled"
36482,Syrian Arab Republic,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,229.0,22.9,goat
36485,Syrian Arab Republic,Yield/Carcass Weight,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",0.1,3877.0,0.38770000000000004,pig
36488,Syrian Arab Republic,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,19827.0,1.9827000000000001,"Meat of rabbits and hares, fresh or chilled"
36491,Syrian Arab Republic,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,395.0,39.5,sheep
36494,Syrian Arab Republic,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,50473.0,5.0473,"Meat of turkeys, fresh or chilled"
36731,Tajikistan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2973.0,297.3,cattle
36734,Tajikistan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,20031.0,2.0031000000000003,chicken
36737,Tajikistan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,395.0,39.5,pig
36740,Tajikistan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,182.0,18.2,sheep
36986,Thailand,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,3054.0,305.4,buffalo
36989,Thailand,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1523.0,152.3,cattle
36992,Thailand,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14139.0,1.4139000000000002,chicken
36995,Thailand,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,27051.0,2.7051000000000003,duck
36998,Thailand,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,20041.0,2.0041,"Meat of geese, fresh or chilled"
37001,Thailand,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,152.0,15.2,goat
37004,Thailand,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,753.0,75.3,pig
37007,Thailand,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,124.0,12.4,sheep
37224,Timor-Leste,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1000.0,100.0,buffalo
37227,Timor-Leste,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1030.0,103.0,cattle
37230,Timor-Leste,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
37233,Timor-Leste,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,100.0,10.0,goat
37236,Timor-Leste,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,400.0,40.0,pig
37239,Timor-Leste,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,100.0,10.0,sheep
37393,Togo,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1060.0,106.0,cattle
37396,Togo,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
37399,Togo,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,50.0,5.0,goat
37402,Togo,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,245.0,24.5,pig
37405,Togo,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,257.0,25.7,sheep
37500,Tokelau,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8032.0,0.8032,chicken
37503,Tokelau,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,301.0,30.1,pig
37557,Tonga,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1900.0,190.0,cattle
37560,Tonga,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7435.0,0.7435,chicken
37563,Tonga,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,153.0,15.3,goat
37566,Tonga,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,486.0,48.6,pig
37713,Trinidad and Tobago,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,800.0,80.0,buffalo
37716,Trinidad and Tobago,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2094.0,209.4,cattle
37719,Trinidad and Tobago,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15498.0,1.5498000000000003,chicken
37722,Trinidad and Tobago,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,179.0,17.9,goat
37725,Trinidad and Tobago,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,560.0,56.0,pig
37728,Trinidad and Tobago,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,19925.0,1.9925,"Meat of rabbits and hares, fresh or chilled"
37731,Trinidad and Tobago,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,60.0,6.0,sheep
37938,Tunisia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,804.0,80.4,horse
37960,Tunisia,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1200.0,120.0,"Meat of camels, fresh or chilled"
37963,Tunisia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2274.0,227.4,cattle
37966,Tunisia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14503.0,1.4503000000000001,chicken
37969,Tunisia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,157.0,15.7,goat
37972,Tunisia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,496.0,49.6,pig
37975,Tunisia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,161.0,16.1,sheep
37978,Tunisia,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,69301.0,6.9301,"Meat of turkeys, fresh or chilled"
